manifest_id,domain,business_name,cohort,industry,country,state_province,region,batch_number,assignment_method,assignment_date
47,"metalab.com","MetaLab Product Agency","B2B & Corporate Services","UI/UX Product Design","Canada","BC","Canada",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
48,"barrelny.com","Barrel Commerce Agency","B2B & Corporate Services","eCommerce Design & Strategy","USA","NY","Northeast",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
49,"veza-digital.com","Veza Digital Agency","B2B & Corporate Services","Webflow & Next.js Development","USA","FL","South",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
50,"bluestoneit.com","Bluestone IT Services","B2B & Corporate Services","Managed IT & Security","USA","OH","Midwest",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
51,"ironcladlogistics.com","Ironclad Freight Logistics","B2B & Corporate Services","Freight & Supply Chain","USA","GA","South",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
52,"apexstaffing.com","Apex Executive Staffing","B2B & Corporate Services","Executive Recruitment","USA","IL","Midwest",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
53,"summitpr.com","Summit Public Relations","B2B & Corporate Services","Corporate Communications","USA","CO","West",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
54,"beaconanalytics.com","Beacon Data Analytics","B2B & Corporate Services","Business Intelligence & Data","USA","NC","South",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
55,"vanguardsecurity.com","Vanguard Cyber Defense","B2B & Corporate Services","Cybersecurity Services","USA","VA","South",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
56,"catalystmedia.com","Catalyst Video Production","B2B & Corporate Services","Commercial Video Production","USA","CA","West",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
57,"nexusprinting.com","Nexus Corporate Printing","B2B & Corporate Services","Commercial Print & Packaging","USA","MO","Midwest",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
58,"tridentcompliance.com","Trident Regulatory Compliance","B2B & Corporate Services","Financial Regulatory Consulting","USA","NY","Northeast",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
59,"momentumhr.ca","Momentum HR Solutions","B2B & Corporate Services","Human Resources Consulting","Canada","ON","Canada",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
60,"elevatetech.ca","Elevate Cloud Consulting","B2B & Corporate Services","Cloud Architecture & DevOps","Canada","AB","Canada",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
61,"superthing.com","Superthing Wellness Coffee","Health, Wellness & Lifestyle","Functional Wellness & Specialty Coffee","USA","TX","South","South","DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
62,"ritual.com","Ritual Daily Multivitamins","Health, Wellness & Lifestyle","Traceable Bioactive Vitamins","USA","CA","West",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
63,"cocokind.com","Cocokind Clean Skincare","Health, Wellness & Lifestyle","Clean Skincare & Botanical Beauty","USA","CA","West","West","DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
64,"kaged.com","Kaged Sports Nutrition","Health, Wellness & Lifestyle","Organic Sports Supplements","USA","CA","West",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
65,"drinklmnt.com","LMNT Electrolyte Hydration","Health, Wellness & Lifestyle","Clean Electrolyte Hydration","USA","TX","South",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
66,"functionofbeauty.com","Function of Beauty Haircare","Health, Wellness & Lifestyle","Customized Personal Care","USA","NY","Northeast",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
67,"floretflowers.com","Floret Flower Farm","Health, Wellness & Lifestyle","Specialty Botanical & Seeds","USA","WA","West",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
68,"sakara.com","Sakara Life Organic Meal Prep","Health, Wellness & Lifestyle","Organic Nutrition & Meals","USA","NY","Northeast",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
69,"humnutrition.com","HUM Nutrition Supplements","Health, Wellness & Lifestyle","Clean Clinical Nutrition","USA","CA","West","West","DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
70,"hyperice.com","Hyperice Muscle Recovery","Health, Wellness & Lifestyle","Percussion Recovery Tech","USA","CA","West",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
71,"therabody.com","Therabody Wellness Tech","Health, Wellness & Lifestyle","Wellness & Massage Tech","USA","CA","West",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
72,"kosas.com","Kosas Clean Makeup","Health, Wellness & Lifestyle","Clean Cosmetics & Beauty","USA","CA","West",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
73,"oseamalibu.com","OSEA Malibu Skincare","Health, Wellness & Lifestyle","Clean Ocean Botanical Beauty","USA","CA","West","West","DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
74,"drbronner.com","Dr. Bronner Magic Soaps","Health, Wellness & Lifestyle","Organic Soap & Bodycare","USA","CA","West",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
75,"truebotanicals.com","True Botanicals Clean Skincare","Health, Wellness & Lifestyle","Organic Ocean Botanical Beauty","USA","CA","West",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
76,"moonjuice.com","Moon Juice Adaptogens","Health, Wellness & Lifestyle","Adaptogenic Supplements","USA","CA","West",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
77,"goodnessme.ca","Goodness Me! Natural Food Market","Health, Wellness & Lifestyle","Natural Foods & Organic Market","Canada","ON","Canada","Canada","DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
78,"purelynatural.ca","Purely Natural Health Clinic","Health, Wellness & Lifestyle","Naturopathic Health Services","Canada","BC","Canada",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
79,"kencko.com","Kencko Organic Nutrition","Health, Wellness & Lifestyle","Organic Freeze-Dried Nutrition","USA","NY","Northeast",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
80,"parsleyhealth.com","Parsley Health Care","Health, Wellness & Lifestyle","Holistic Primary Medicine","USA","NY","Northeast",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
81,"feltedsky.com","Felted Sky Needle Felting","Miscellaneous Independent","Wool Felting & Craft Kits","USA","MI","Midwest",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
82,"makerhouse.com","Maker House Artisans","Miscellaneous Independent","Artisan Craft & Home Decor","Canada","ON","Canada",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
83,"papermouse.com","The Paper Mouse Stationery","Miscellaneous Independent","Specialty Stationery & Gifts","USA","MA","Northeast",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
84,"huckberry.com","Huckberry Menswear & Gear","Miscellaneous Independent","Specialty Outdoor & Lifestyle","USA","TX","South",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
85,"fieldnotesbrand.com","Field Notes Memo Books","Miscellaneous Independent","Custom Pocket Memo Books","USA","IL","Midwest",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
86,"bestmadeco.com","Best Made Axe & Tool Co.","Miscellaneous Independent","Artisanal Tools & Camp Goods","USA","NY","Northeast",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
87,"blackwing602.com","Blackwing Specialty Stationery","Miscellaneous Independent","Specialty Stationery & Pencils","USA","CA","West",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
88,"fishseddy.com","Fishs Eddy Artisan Tableware","Miscellaneous Independent","Iconic Ceramics & Tableware","USA","NY","Northeast",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
89,"poketo.com","Poketo Design Goods","Miscellaneous Independent","Artisan Stationery & Home Design","USA","CA","West",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
90,"luluandgeorgia.com","Lulu & Georgia Decor","Miscellaneous Independent","Modern Interior Furnishings","USA","CA","West",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
91,"mcgeeandco.com","McGee & Co. Home Goods","Miscellaneous Independent","Curated Home Furnishings","USA","UT","West",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
92,"jaysonhome.com","Jayson Home Vintage Goods","Miscellaneous Independent","Vintage Furnishings & Botanicals","USA","IL","Midwest",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
93,"mille.com","MILLE Boutique & Design","Miscellaneous Independent","Specialty Apparel & Fine Goods","USA","MN","Midwest",3,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
94,"goodneighbor.ca","Good Neighbor Goods","Miscellaneous Independent","Specialty Gifts & Apparel","Canada","ON","Canada",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
95,"coalandcanary.com","Coal and Canary Candle Co","Miscellaneous Independent","Artisan Candles & Canadian Gifts","Canada","MB","Canada",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
96,"baronfig.com","Baronfig EDC & Paper Goods","Miscellaneous Independent","Custom Notebooks & EDC Tools","USA","NY","Northeast",1,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
97,"adafruit.com","Adafruit Electronics","Miscellaneous Independent","DIY Electronics & Hardware","USA","NY","Northeast",2,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
98,"peace-collective.com","Peace Collective Goods","Miscellaneous Independent","Canadian Lifestyle & Apparel","Canada","ON","Canada",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
99,"sprucecollective.com","Spruce Collective Goods","Miscellaneous Independent","Canadian Artisan Decor & Lifestyle","Canada","BC","Canada",4,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
100,"nicheacademy.com","Niche Academy EdTech","Miscellaneous Independent","Specialty Online Learning Platform","USA","UT","West",5,"DETERMINISTIC_ROUND_ROBIN_BY_COHORT","2026-08-31"
