criterion_id,exact_criterion_name,category,max_score,status_to_score_rule,publication_friendly_label,PASS_count,PARTIAL_count,FAIL_count,NOT_MEASURABLE_count,mean_score,normalized_mean
C2.3,"Googlebot Access","AI Discovery Accessibility",2.0,"PASS=2.0 | FAIL=0.0","Googlebot Permission Rules",100,0,0,0,2.0,100.0
C2.4,"Bingbot Access","AI Discovery Accessibility",2.0,"PASS=2.0 | FAIL=0.0","Bingbot Permission Rules",100,0,0,0,2.0,100.0
C2.5,"CDN / WAF Pass-through","AI Discovery Accessibility",2.0,"PASS=2.0 | FAIL=0.0","CDN & WAF Bot Pass-through",100,0,0,0,2.0,100.0
C3.1,"Organization Schema Markup","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Organization JSON-LD Schema",42,0,58,0,0.84,42.0
C3.2,"Brand Name Consistency Across Channels","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Brand Name Consistency",100,0,0,0,2.0,100.0
C3.3,"Dedicated About Page Presence","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Dedicated About Page Presence",92,0,8,0,1.84,92.0
C3.4,"Contact Information Transparency","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Contact Info Transparency",96,0,4,0,1.92,96.0
C3.5,"Leadership & Founder Attribution","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Leadership & Founder Information",68,0,32,0,1.36,68.0
C3.6,"Expert / Author Bylines","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Expert / Author Bylines",35,25,40,0,0.95,47.5
C3.7,"Physical Business Address Disclosure","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Physical Business Address",88,0,12,0,1.76,88.0
C3.8,"Privacy Policy & Terms Disclosure","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Privacy Policy & Terms Disclosure",98,0,2,0,1.96,98.0
C3.9,"Customer Support Channel Clarity","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Customer Support Channels",95,0,5,0,1.90,95.0
C3.10,"Social & External Profile Links","Entity & E-E-A-T Transparency",2.0,"PASS=2.0 | FAIL=0.0","Social & External Entity Profiles",92,0,8,0,1.84,92.0
C4.1,"Single Main Heading (H1) Structure","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Single H1 Heading Structure",82,15,3,0,1.79,89.5
C4.2,"Logical H2/H3 Heading Hierarchy","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Logical H2/H3 Heading Hierarchy",85,12,3,0,1.82,91.0
C4.3,"Direct Answer Passages","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Direct Answer Passage Formatting",48,32,20,0,1.28,64.0
C4.4,"Structured Lists & Data Tables","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Structured HTML Lists & Tables",62,28,10,0,1.52,76.0
C4.5,"FAQ Structure & Content","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Visible FAQ Content Structure",38,22,40,0,0.98,49.0
C4.6,"Self-Contained Informational Passages","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Self-Contained Content Passages",75,20,5,0,1.70,85.0
C4.7,"Definition & Glossary Term Structure","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Definition & Glossary Term Formatting",25,15,60,0,0.65,32.5
C4.8,"Contextual Internal Linking","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Contextual Internal Link Anchors",78,18,4,0,1.74,87.0
C4.9,"Entity-Dense Informational Sentences","AEO / Content Retrievability",2.0,"PASS=2.0 | PARTIAL=1.0 | FAIL=0.0","Entity-Dense Informational Writing",60,30,10,0,1.50,75.0
C4.10,"Article / Blog Schema Markup","AEO / Content Retrievability",2.0,"PASS=2.0 | FAIL=0.0","Article / Blog JSON-LD Schema",23,0,77,0,0.46,23.0
C5.1,"First-Party Case Studies & Project Proof","GEO / Authority Readiness",3.0,"PASS=3.0 | PARTIAL=1.5 | FAIL=0.0","First-Party Case Studies & Proof",18,12,70,0,0.90,30.0
C5.2,"Original Data & Proprietary Research","GEO / Authority Readiness",3.0,"PASS=3.0 | PARTIAL=1.5 | FAIL=0.0","Original Data & Research Assets",12,8,80,0,0.60,20.0
C5.3,"Third-Party Media Mentions & Press Coverage","GEO / Authority Readiness",3.0,"PASS=3.0 | PARTIAL=1.5 | FAIL=0.0","Third-Party Editorial Mentions",35,20,45,0,1.35,45.0
C5.4,"Industry Association & Accreditation Profiles","GEO / Authority Readiness",3.0,"PASS=3.0 | FAIL=0.0","Industry Association Profiles",42,0,58,0,1.26,42.0
C5.5,"Expert Commentary & Industry Quotes","GEO / Authority Readiness",3.0,"PASS=3.0 | PARTIAL=1.5 | FAIL=0.0","Expert Commentary & Industry Quotes",20,15,65,0,0.825,27.5
C5.6,"Claim Substantiation & Citation Sources","GEO / Authority Readiness",3.0,"PASS=3.0 | PARTIAL=1.5 | FAIL=0.0","Factual Claim Substantiation Sources",28,32,40,0,1.32,44.0
C5.7,"Platform Review Profiles","GEO / Authority Readiness",3.0,"PASS=3.0 | FAIL=0.0","Platform Review Profiles (G2/Trustpilot)",50,0,50,0,1.50,50.0
C5.8,"Supplier & B2B Partner References","GEO / Authority Readiness",3.0,"PASS=3.0 | FAIL=0.0","Supplier & Partner References",45,0,55,0,1.35,45.0
C5.9,"External Entity Corroboration & Knowledge Nodes","GEO / Authority Readiness",3.0,"PASS=3.0 | FAIL=0.0","Knowledge Graph Entity Nodes (Wikidata)",8,0,92,0,0.24,8.0
C5.10,"Co-Citation & Entity Association","GEO / Authority Readiness",3.0,"PASS=3.0 | PARTIAL=1.5 | FAIL=0.0","Co-Citation & Entity Co-occurrence",38,22,40,0,1.62,54.0
